번호,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
12,부산관광공사 무기계약직 공개경쟁채용 (부산시티투어버스운전원),2022-03-04,2022-10-15,2022-03-04,2022-10-15,인터넷 접수,직접,"모집부문-정규직, 직급-무기계약직",3,NCS기반 블라인드 채용,"1차 서류심사,  2차 면접시험, 3차 최종합격",2022-03-21,"-응시자격: 성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역군인의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함, 임용예정일 기준 공사 정년퇴직 연령(만 60세)에 도달하지 않아야 함, - 직무필수 자격:(공고일 기준) 1종 대형운전면허를 보유하고 있는 버스운전자격증 소지자(공고일 기준) 영업용 버스운전 경력 2년 이상인 자,영업용버스: 시내버스, 농어촌버스, 마을버스, 시외·고속버스, 전세버스, 4대보험 가입 및 사업자등록이 되어있어야 함. (경력증명서 제출필요),(합격예정자 등록마감일 기준) 운전경력증명서상 최근 3년간 무사고 운전자,  * 기간 중 운전자격이 정지된 자 제외 (합격예정자 등록마감일 기준) 최근 3년 이내 운전자 정밀검사 적합판정을 받은 자* 재발급 포함(합격예정자 등록마감일 기준) 최근 5년간 음주로 인한 운전면허 정지, 취소를  받지 않은 자",경영지원팀,051-780-2134
13,부산관광공사 임원 초빙 공고,2022-04-04,2022-04-19,2022-04-04,2022-04-19,방문 또는 등기우편 접수,직접,상임이사,1,공사 내규에 따름,"1차 서류심사, 2차 면접심사 ※면접심사는 임원추천위원회 의결로 생략할 수 있음",0,"- 지방공기업법 제60조(임원의 결격사유) 제1항에 해당하지 않는 자로서 다음 각호의 1에 해당하는 자, 상장법인에서 10년 이상 경력과 관광, 경영 등 관련 분야 전문지식을 갖춘 자, +N15중앙부처 또는 지방자치단체 공무원으로서 10년 이상 경력과 관광, 경영 등 관련 분야 전문지식을 갖춘 자, 공공기관 또는 지방공기업에서 10년 이상 경력과 관광, 경영 등 관련 분야 전문지식을 갖춘 자, 대학·연구기관에서 관광, 경영 등 관련 분야 연구 경력과 전문지식을 갖춘 자, 기타 위 각호에 상응하는 자격이 있다고 임원추천위원회에서 인정하는 자",경영지원팀,051-780-2134
14, 2022년 부산관광공사 신입사원 공개채용 공고,2022-09-21,2022-09-28,2022-09-21,2022-09-28,인터넷 접수,https://bto.saramin.co.kr/service/bto/3246/applicant/apply/recruit_default.asp,일반사무직,3,NCS기반 블라인드 채용,"1차 서류심사, 2차 필기시험,  3차 면접시험, 4차 최종합격",2022-12-07,"가. 일반 응시자격: 연    령: 「청년고용촉진특별법」제5조제1항및동법시행령제2조의의거 공고일기준만34세이하인미취업청년 ,학    력: 제한 없음,응시제한 : 우리공사 인사규정 제17조(결격사유)에 해당하는 자(공통), 근무조건 : 초과근로가 가능한 자, 기타사항 : 각 시험단계 응시 및 교육 참여 가능자, 해외여행에 결격사유가 없는 자,※ 현역복무 중인 자는 단계별 전형절차(필기시험, 면접시험 등)에 응시가 가능하여야 하며, 최종합격자 발표일 전일까지 전역(소집해제)이 가능하여야 함., 나. 지역제한, 요  건 :아래 ①번과 ②번의 요건 중 하나를 충족하여야 함,① 공고일 이전부터 면접시험 최종일까지 계속하여 부산광역시에 주민등록상 거주하는 자로서 동 기간 중 주민등록의 말소 및 거주 불명으로 등록된 사실이 없어야 함, 공고일 이전까지 부산광역시에 주민등록상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자,지역제한 요건의 확인은 ‘개인별 주민등록표’를 기준으로 함, 과거 거주 사실의 합산은 연속하지 않더라도 총 거주한 기간을 월(月) 단위로 계산하여 36개월 이상이면 충족 함,재외국민(해외영주권자)의 경우 위 거주지 제한 요건과 같고 주민등록 또는 국내거소신고사실증명으로 거주한 사실을 증명함.다. 분야별 응시자격분야응시자격 아래의 자격증 중 1개 이상을 소지하여야 함. 정보보안- 정보보안기사- 정보보안산업기사- 전자계산기조직응용기사※ 원서접수 마감일까지 취득 및 유효하게 등록되어야만 인정.아래의 요건 중 하나를 충족하여야 함.관광마케팅- (영어) 토익 800 또는 TOFEL 91 또는 TEPS 650 이상- (일어) JPT 800 또는 JLPT N2 이상  - (중어) 新 HSK 5급이상.※ 원서접수 마감일까지 취득 및 유효하게 등록되어야만 인정",경영지원팀,051-780-2134
15,2022년 부산관광공사 체험형 청년인턴 선발 공고,2022-11-29,2022-12-09,2022-11-29,2022-12-09,인터넷 접수,직접,체험형인턴,2,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2022-12-30," 가. 일반 응시자격  1) 연    령 : 「청년고용촉진특별법」제5조 제1항 및 동법시행령 제2조의 의거      공고일 기준 만 34세 이하인 청년,2) 학    력 : 제한 없음, 3) 병    역 : 해외여행에 결격사유가 없는 자, 남자의 경우 병역필 또는 면제된 자 ※ 현역복무 중인 자는 단계별 전형절차(필기시험, 면접시험 등)에 응시가 가능하여야 하며, 최종합격자 발표일 전일까지 전역(소집해제)이 가능하여야 함.   4) 응시제한 : 우리공사 인사규정 제17조(결격사유)에 해당하는 자(공통) 5) 근무조건 : 초과근로가 가능한 자, 임용예정일 당시 취업상태가 아닌자  ※ 취업상태의 확인은 고용보험 가입이력을 기준으로 함   6) 기타사항 : 각 시험 단계별 응시 및 교육훈련 참여가 가능한 자 나. 지역제한  요  건 : 아래 3가지의 요건 중 하나를 충족하여야 함 ① 공고일 기준 부산광역시 소재 대학교 재학 중 또는 졸업, 졸업예정자 ② 공고일 이전부터 면접일까지 주민등록기준상 부산광역시에 거주 중인 자- 단 동기간 중 주민등록 말 소 및 거주 불명으로 등록된 사실이 없어야 함  ③ 공고일 기준 주민등록기준상 부산광역시에서 합산 거주한 기간이 3년 이상인 자",경영지원팀,051-780-2134
16,2022 부산관광공사 일반계약직 공개경쟁채용 공고,2022-11-29,2022-12-09,2022-11-29,2022-12-09,인터넷 접수,직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2022-12-30,"1. 공통 응시자격 :성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함,다음 자격요건 중 한 가지 이상 해당자,(영어) 토익 600이상 또는 TOEFL 69이상 또는 NEW TEPS 228이상,※외국어 성적은 응시접수 마감일 기준 2년 이내 취득한 성적만 인정, 우대사항: 관광 관련 업무 경험자",경영지원팀,051-780-2134
17,2023 부산관광공사 일반계약직 공개경쟁채용 공고,2023-01-25,2023-02-06,2023-01-25,2023-02-06,인터넷 접수,직접,일반계약직,6,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-02-24,"응시자격:성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자 , 현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함,채용분야, 응시자격:  다음 자격요건 중 한 가지 이상 해당자,(영어) 토익 800이상 또는 TOEFL 91이상 또는 TEPS 650이상,(일어) JPT 800이상 또는 JLPT N2 이상, (중어) HSK 5급이상,외국어 성적은 응시접수 마감일 기준 2년 이내 취득한 성적만 인정",경영지원팀,051-780-2134
18,부산관광공사 일반계약직 (육아휴직 대체)채용 공고(장애인 제한경쟁),2023-02-27,2023-03-10,2023-02-27,2023-03-10,인터넷 접수,직접,일반계약직,2,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-04-12,"응시자격 : 성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함, 채용분야:응시자격  장애인고용촉진 및 직업재활법」에 의한 장애인 ※ 장애인 등록증 또는 복지카드 사본 제출",경영지원팀,051-780-2134
19,2023년 부산관광공사 무기계약직(운전원)  공개경쟁채용 공고,2023-03-23,2023-04-05,2023-03-23,2023-04-05,인터넷 접수,직접,무기계약직,3,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-04-24,"응시자격:성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역군인의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함,임용예정일 기준 공사 정년퇴직 연령(만 60세)에 도달하지 않아야 함, 직무필수(공고일 기준) 1종 대형운전면허를 보유하고 있는 버스운전자격증 소지자 (공고일 기준) 영업용 버스운전 경력 2년 이상인 자  - 영업용버스: 시내버스, 농어촌버스, 마을버스, 시외·고속버스, 전세버스  - 4대보험 가입 및 사업자등록이 되어있어야 함. (경력증명서 제출필요),(합격예정자 등록마감일 기준) 운전경력증명서상 최근 3년간 무사고 운전자  * 기간 중 운전자격이 정지된 자 제외 (합격예정자 등록마감일 기준) 최근 3년 이내 운전자 정밀검사 적합판정을 받은 자 * 재발급 포함(합격예정자 등록마감일 기준) 최근 5년간 음주로 인한 운전면허 정지, 취소를 받지 않은 자",경영지원팀,051-780-2134
20,2023년 부산관광공사 일반계약직 (서울사무소 및 마케팅실 외) 채용 공고,2023-03-30,2023-04-12,2023-03-30,2023-04-12,인터넷 접수,직접,일반계약직,6,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-05-02,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역의 N21경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
21,"2023년 부산관광공사 일반계약직 (지역MICE활성화, 모객인센티브) 채용 공고",2023-04-28,2023-05-08,2023-04-28,2023-05-08,인터넷 접수,직접,일반계약직,2,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-05-26,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역의 N21경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
22,2023년 부산관광공사 일반계약직(서울사무소) 채용 공고,2023-05-04,2023-05-14,2023-05-04,2023-05-14,인터넷 접수,직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-06-01,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역의 N21경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
23,"2023년 부산관광공사 일반계약직(육아휴직 대체)  채용 공고(공개경쟁, 장애인 제한경쟁)",2023-05-12,2023-05-22,2023-05-12,2023-05-22,인터넷 접수,직접,일반계약직,3,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-06-12,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역의 N21경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
24,2023년 부산관광공사 무기계약직(운전원)  공개경쟁채용 재공고,2023-05-19,2023-06-02,2023-05-19,2023-06-02,인터넷 접수,직접,일반계약직,3,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-06-02," 성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자, 현역의 N21경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함,임용예정일 기준 공사 정년퇴직 연령(만 60세)에 도달하지 않아야 함",경영지원팀,051-780-2134
25,2023년 부산관광공사 일반계약직 (야간특화도시 조성사업) 채용 공고,2023-06-07,2023-06-18,2023-06-07,2023-06-18,인터넷 접수,직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-07-10,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며,  회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
26,2023년 부산관광공사 서울사무소 일반계약직 채용 공고,2023-07-07,2023-07-17,2023-07-07,2023-07-17,인터넷 접수,직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격", 2023-08-07,"성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며,  회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
27,2023년 부산관광공사 무기계약직(운전원) 공개경쟁채용 공고,2023-08-11,2023-08-21,2023-08-11,2023-08-21,인터넷 접수,직접,무기계약직,5,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-09-25,"성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역군인의 경우에는 최종합격자 발표전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용시부터 재직이 가능하여야 함,임용예정일 기준 공사 정년퇴직 연령(만 60세)에 도달하지 않아야 함",경영지원팀,051-780-2134
28,2023년 부산관광공사 무기계약직(운전원) 공개경쟁채용 재공고,2023-08-28,2023-09-07,2023-08-28,2023-09-07,인터넷 접수,직접,무기계약직,6,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-10-04,"성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역군인의 경우에는 최종합격자 발표전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용시부터 재직이 가능하여야 함,임용예정일 기준 공사 정년퇴직 연령(만 60세)에 도달하지 않아야 함",경영지원팀,051-780-2134
29,2023년 부산관광공사 신입사원 공개채용 공고,2023-08-29,2023-09-19,2023-08-29,2023-09-19,인터넷 접수,https://bto.saramin.co.kr/service/bto/2900/applicant/apply/recruit_default.asp,일반사무직,4,NCS기반 블라인드 채용,1. 필기시험 2. 인성검사 3. 서류심사 4. 면접시험,2023-11-27,"정보보안:아래의 자격증 중 1개 이상을 소지하여야 함. 정보보안기사,정보보안산업기사,전자계산기조직응용기사,경영일반 및 마케팅, 아래의 요건 중 하나를 충족하여야 함.(영어) 토익 800 또는 TOEFL 91 또는 New TEPS 309 이상,(일어) JPT 800 또는 JLPT N2 이상, (중어) 新HSK 5급 이상,※ 원서접수 마감일까지 취득 및 유효하게 등록되어야만 인정",경영지원팀,051-780-2134
30,"2023년 부산관광공사 일반계약직(육아휴직 대체) 채용 공고(공개경쟁, 장애인 제한경쟁)",2023-09-15,2023-09-25,2023-09-15,2023-09-25,인터넷 접수,직접,일반계약직,1,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-10-27,"성별,학력,전공,지역에 대한 제한 없음-병역필 또는 면제자 및 해외여행에 결격사유가 없는자-현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며,회사 등 재직 중인 자는 임용시부터 재직이 가능하여야함",경영지원팀,051-780-2134
31,2023년 부산관광공사 체험형 청년인턴 선발 공고,2023-12-02,2023-12-12,2023-12-02,2023-12-12,인터넷 접수,직접,체험형 청년인턴,2,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2023-12-29,"성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며,  회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
32,2023 부산관광공사 개방형 직위 공모 공고(경영혁신실장),2023-12-08,2023-12-18,2023-12-08,2023-12-18,인터넷 접수,직접,경영혁신실장,1,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2024-01-08,"관련분야 박사학위 취득 후 2년 이상 경력자, 관련분야 석사학위 취득 후 5년 이상 경력자, 공무원 5급 이상으로 관련분야 2년 이상 경력자,정부 및 지방자치단체 투자기관 2급 또는 기업체 부장급 이상 경력자, 관련분야 15년 이상 경력자,기타 위 각 호에 준하는 자격 또는 능력이 있다고 인정되는 자",경영지원팀,051-780-2134
33,2024년 부산관광공사 일반계약직 공개경쟁채용 공고,2024-02-09,2024-02-29,2024-02-09,2024-02-29,인터넷 접수,직접,일반계약직,11,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2024-03-15,"성별, 학력, 전공, 지역에 대한 제한 없음,병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며,  회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함",경영지원팀,051-780-2134
34,2024년 부산관광공사 일반계약직 공개경쟁채용 재공고,2024-03-11,2024-03-21,2024-03-11,2024-03-21,인터넷 접수,직접,일반계약직,2,NCS기반 블라인드 채용,"1차 서류심사, 2차 면접시험, 3차 최종합격",2024-04-04,"성별, 학력, 전공, 지역에 대한 제한 없음, 병역필 또는 면제자 및 해외여행에 결격사유가 없는자,현역의 경우에는 최종합격자 발표 전일까지 전역이 가능하여야 하며, 회사 등 재직 중인 자는 임용 시부터 재직이 가능하여야 함.분야별 필수자격 : 관광두레 부산지역 협력사업 운영(외국어 자격요건 중 한 가지 이상 해당자),(영어) TOEIC 800이상 또는 TOEFL 91 이상 또는 TEPS 650(New TEPS 310) 이상(일어) JPT 800이상 또는 JLPT N2 이상 (중어) HSK 5급 이상  ※ 우대사항: 관련 업무경험자(관광MICE, 창업보육, 일자리 사업, 엘셀러레이터, 벤처캐피털), 관광MICE, 회계 관련 자격증 소지자 *공사 기록물관리(필수자격 아래 요건 중 한 가지 이상 해당자) 기록관리학 전공으로 석사학위 이상 취득자,행정안전부 장관이 시행하는 기록물관리 전문요원 시험 합격자",경영지원팀,051-780-2134
