기관명,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,2021-01-07,2021-01-18,2021-01-08,2021-01-18,인터넷 접수,http://bmc.incruit.com,공무직(시설관리_공통),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 기계, 전기, 통신 분야 기능사 이상 자격증 보유한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,2021-01-07,2021-01-18,2021-01-08,2021-01-18,인터넷 접수,http://bmc.incruit.com,공무직(미화),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,2021-01-07,2021-01-18,2021-01-08,2021-01-18,인터넷 접수,http://bmc.incruit.com,공무직(안내),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직,5,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",토목직,2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건설재료시험, 측량 및 지형공간정보, 콘크리트, 토목, 도시계획, 교통, 건설안전), 기술사(토목품질시험, 측량 및 지형공간정보, 토질 및 기초, 토목구조, 도로 및 공항, 토목시공, 항만 및 해안, 상하수도, 수자원개발, 도시계획, 교통, 건설안전) 중 1개 이상 보유한 자 ",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",건축직,5,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음," 만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건축, 실내건축, 건설안전), 기술사(건축시공, 건축품질시험, 건축구조, 건설안전), 건축사 중 1개 이상 보유한 자 ",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직_장애인,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 「장애인복지법 시행령」제2조의 규정에 의한 장애인으로서 응시원서 접수마감일 현재까지 장애인으로 유효하게 등록되어 있는 자, 「국가유공자 등 예우 및 지원에 관한 법률 시행령」제14조 제3항의 규정에 의한 상이등급 기준에 해당하는 자로 응시원서 접수마감일 현재까지 유효하게 등록·결정되어 있는 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(운전원),1,NCS기반 직무능력중심 채용," 1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2021-07-01(목),"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 1종 보통 이상 운전면허를 취득하고 공공기관·법인·단체 등에서 운전직무 2년 이상 경력 보유자, 3년간 무사고 운전 경력 보유자, 운전면허 최초 취득 후 음주운전으로 운전면허 정지·취소를 받지 않은 자, 3년 이내 운전적성정밀검사 적합 판정자 ",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,2021-04-13,2021-05-03,2021-04-27,2021-05-03,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(관리사무소장),1,NCS기반 직무능력중심 채용," 1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2021-07-01(목),"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 주택관리사 자격증을 소지한 자, 아파트 500세대 이상의 단지에서 3년 이상 관리사무소장으로 근무한 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직,6,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",전산직,2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(전자계산기, 정보처리, 전자계산기조직응용, 정보보안), 기술사(컴퓨터시스템응용, 정보관리) 중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",토목직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건설재료시험, 측량 및 지형공간정보, 콘크리트, 토목, 도시계획, 교통, 건설안전, 산업안전), 기술사(토목품질시험, 측량 및 지형공간정보, 토질 및 기초, 토목구조, 도로 및 공항, 토목시공, 항만 및 해안, 상하수도, 수자원개발, 도시계획, 교통, 건설안전) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",조경직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자,  기사(조경, 자연생태복원), 기술사(조경, 자연환경관리) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",건축직,5,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건축, 실내건축, 건설안전, 산업안전), 기술사(건축시공, 건축품질시험, 건축구조, 건설안전), 건축사 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",기계직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건설기계설비, 일반기계, 공조냉동기계, 건축설비), 기술사(건축기계설비, 공조냉동기계, 건설기계) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",전기직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자,  기사(전기, 전기공사), 기술사(건축전기설비, 발송배전, 전기응용) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",통신직,2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(정보통신, 무선설비, 방송통신, 전파전자통신), 기술사(정보통신) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직_장애인,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 「장애인복지법 시행령」제2조의 규정에 의한 장애인으로서 응시원서 접수마감일 현재까지 장애인으로 유효하게 등록되어 있는 자, 「국가유공자 등 예우 및 지원에 관한 법률 시행령」제14조 제3항의 규정에 의한 상이등급 기준에 해당하는 자로 응시원서 접수마감일 현재까지 유효하게 등록·결정되어 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",운영직(청소년 지도사),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.07.01.(금),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 청소년 지도사 자격증 보유자로서 청소년 행사 운영관련분야 3년 이상의 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",운영직(전산),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.07.01.(금),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 기사(전자계산기, 정보처리, 전자계산기조직응용, 정보보안), 기술사(컴퓨터시스템응용, 정보관리) 중 1개 이상 보유자로서 전산분야 3년 이상의 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",운영직(시설운영),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.07.01.(금),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 시설운영 분야 산업기사 이상 자격증(붙임2)을 보유한 자로서 시설운영분야 3년 이상의 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(관리사무소장),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.07.01.(금),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 주택관리사 자격증을 소지한 자로서 아파트 500세대 이상의 단지에서 3년 이상 관리사무소장으로 근무한 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(미화),2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.07.01.(금),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 해당분야 종사 가능한 자로서 1년 이상의 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,2022-04-14,2022-05-04,2022-04-28,2022-05-04,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(시설운영),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.07.01.(금),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 시설운영 분야 기능사 이상 자격증(붙임2)을 보유한 자로서 시설운영분야 1년 이상의 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 하반기 부산도시공사 사원 모집공고,2022-09-07,2022-09-28,2022-09-21,2022-09-28,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(미화),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.12.1.(목),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 해당분야 종사 가능한 자로서 1년 이상의 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 하반기 부산도시공사 사원 모집공고,2022-09-07,2022-09-28,2022-09-21,2022-09-28,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(운전),1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2022.12.1.(목),"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 1종 보통 이상 운전면허를 취득하고 공공기관·법인·단체 등에서 운전직무 2년 이상 경력 보유자, 3년간 무사고 운전 경력 보유자, 운전면허 최초 취득 후 음주운전으로 운전면허 정지·취소를 받지 않은 자, 3년 이내 운전적성 정밀검사 적합 판정자",경영지원실,051-810-1243
부산도시공사,2022년 청년인턴 모집공고,2022-10-27,2022-11-11,2022-10-28,2022-11-11,인터넷 접수,인터넷접수(https://bmc.recruiton.kr),체험형 청년인턴,7,"서류,면접전형 중심 채용","1차 서류심사, 2차 면접전형",2022.12.1.(목),"공고일 전일기준 현재 부산에 주민등록 되어 있는 자, (공고일 기준) 만18세 이상 ∼ 만34세 이하인 사람, 대학(교) 재학생 지원 불가, 휴학생, 졸업유예생(졸업학점이수자) 지원 가능",경영지원실,051-810-1243
부산도시공사,2023년 부산도시공사 신입사원 모집공고,2023-04-04,2023-04-24,2023-04-18,2023-04-24,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직,4,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",2023. 8. 1.(화),"만18세이상(2005.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자이거나, 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 어학능력 기준점수 이상 취득자",경영지원실,051-810-1243
